State,County,Under5yrsPopulation_total ,Under5yrsPopulation_female,t5to17yrsPopulation_total,t5to17yrs_Female,t18to24yearsPopulation,t18to24yrs_Female,t25to34yrs_Population,t25to34years_Female,t35to44yrs_Population,t35to44yrs_Female,t45to64yrs_Population,t45to64yrs_Female,t65to84years_Population,t65to84yrs_Female,t85to99yrs_Population,t85to99yrs_Female,t100_years_and_Over_Population,t100yrs_and_over_Female
Alabama,Autauga County,3513,1695,10769,5325,4779,2407,7282,3777,7708,3990,15511,7998,8316,4610,926,613,1,0
Alabama,Baldwin County,11690,5691,37606,18283,16928,8439,24691,12592,27629,14110,62533,32731,46084,24455,4564,2808,42,31
Alabama,Barbour County,1322,688,3767,1872,1897,882,3142,1314,3191,1273,6801,3205,4611,2503,489,317,3,2
Alabama,Bibb County,1270,652,3490,1686,1808,834,2862,1232,3096,1273,6151,2823,3263,1741,349,254,4,0
Alabama,Blount County,3541,1684,10190,5064,4959,2396,6574,3298,7032,3599,15824,7851,9961,5362,1047,678,6,5
Alabama,Bullock County,493,269,1508,713,709,324,1398,549,1521,592,2870,1256,1690,898,158,120,10,8
Alabama,Butler County,1044,499,3104,1432,1513,768,1924,1062,2259,1237,5115,2723,3579,2003,503,348,10,8
Alabama,Calhoun County,6292,3098,17860,8724,13695,7044,13617,7017,13647,7198,29903,15499,19085,10466,2320,1592,22,16
Alabama,Chambers County,1752,857,5229,2581,3136,1380,4083,2091,3818,2011,9586,4904,6438,3531,717,503,13,12
Alabama,Cherokee County,1166,576,3636,1771,1904,943,2457,1200,2510,1276,7423,3765,5387,2773,480,334,8,6
Alabama,Chilton County,2705,1357,7924,3981,3781,1852,5353,2731,5556,2793,11990,6082,7001,3752,695,457,9,9
Alabama,Choctaw County,666,321,1831,866,950,483,1177,605,1328,692,3811,1972,2639,1446,257,163,6,4
Alabama,Clarke County,1302,606,3536,1732,1859,947,2435,1298,2575,1387,6560,3457,4229,2310,580,407,11,10
Alabama,Clay County,755,384,2182,1021,1110,507,1437,761,1608,815,4106,2039,2740,1465,294,192,4,4
Alabama,Cleburne County,849,394,2587,1299,1127,543,1587,801,1658,850,4300,2105,2643,1405,304,205,1,0
Alabama,Coffee County,3184,1542,9507,4680,4585,2180,6744,3319,6619,3321,13499,6862,8363,4550,956,630,8,4
Alabama,Colbert County,3205,1551,8944,4378,4559,2281,6881,3578,6559,3439,15698,8168,10220,5660,1150,738,11,11
Alabama,Conecuh County,593,272,1727,871,885,439,1179,598,1178,617,3358,1732,2397,1289,273,195,7,7
Alabama,Coosa County,478,243,1306,646,671,340,1056,521,1172,546,3304,1599,2180,1099,214,161,6,6
Alabama,Covington County,2097,243,6086,2938,2818,1401,3960,2077,4135,2180,10280,5255,7249,3942,930,621,15,10
Alabama,Crenshaw County,645,314,2189,1038,976,474,1487,787,1447,771,3667,1883,2467,1377,301,211,15,13
Alabama,Cullman County,5139,2531,14487,7068,7187,3549,10447,5171,10529,5280,23440,11752,14964,8171,1651,1052,22,19
Alabama,Dale County,3212,1568,8066,3855,4307,2112,6947,3501,5755,2948,12509,6411,7669,4190,847,518,14,7
Alabama,Dallas County,2195,1107,6654,3238,3113,1553,4095,2261,4293,2391,10807,5797,6573,3670,714,492,18,14
Alabama,DeKalb County,4436,2164,13252,6445,6282,3051,7931,3966,8534,4369,18587,9370,11488,6190,1092,705,6,4
Alabama,Elmore County,4668,2325,14304,6857,7104,3301,11218,5456,11433,5482,24581,12224,13430,7162,1222,804,17,15
Alabama,Escambia County,2183,1090,5999,2984,2753,1351,4477,2132,4358,2040,9865,4885,6335,3488,766,514,21,19
Alabama,Etowah County,5933,2892,16382,7952,8679,4319,11743,6069,11990,6179,28099,14394,18644,10273,1957,1309,9,6
Alabama,Fayette County,909,451,2621,1248,1221,599,1648,877,1868,926,4499,2323,3183,1674,370,245,2,1
Alabama,Franklin County,2110,1016,6072,2978,2758,1325,3784,1894,3888,1949,8000,4003,4934,2695,565,384,2,1
Alabama,Geneva County,1367,655,4472,2175,1968,976,2728,1379,3195,1629,7309,3688,5050,2696,562,368,8,7
Alabama,Greene County,429,195,1231,616,624,303,790,408,819,436,2131,1166,1538,839,154,111,14,11
Alabama,Hale County,876,387,2426,1176,1213,642,1626,869,1703,917,4124,2229,2526,1368,287,213,4,4
Alabama,Henry County,822,391,2683,1292,1245,605,1591,845,1925,994,4812,2479,3683,1978,383,268,2,2
Alabama,Houston County,6423,3105,18133,8680,8532,4355,12835,6882,13076,6873,27943,14627,18012,10054,2227,1466,21,16
Alabama,Jackson County,2811,1411,8000,3816,4177,2062,5557,2791,6125,3169,14846,7553,10046,5452,1014,685,3,3
Alabama,Jefferson County,39075,19139,108559,53375,65162,34405,95212,50103,85996,45472,167499,88795,99954,56504,13107,8969,157,127
Alabama,Lamar County,761,355,2192,1066,1038,507,1373,719,1576,809,3928,2001,2767,1437,334,207,3,3
Alabama,Lauderdale County,4830,2317,13826,6724,10604,5685,11056,5636,10032,5079,24184,12614,16935,9257,2087,1332,10,10
Alabama,Lawrence County,1858,891,5337,2617,2506,1262,3709,1896,3712,1859,9668,4946,5749,3045,532,363,2,2
Alabama,Lee County,10039,4837,27758,13410,33062,16717,24228,12168,20262,10505,37340,19433,19541,10630,1996,1286,15,14
Alabama,Limestone County,6051,2996,17801,8827,8176,3936,12850,6272,13941,6725,28336,14001,14836,8020,1560,1024,19,18
Alabama,Lowndes County,528,268,1500,720,806,394,1073,565,1129,573,3127,1640,1943,1043,200,134,5,5
Alabama,Macon County,845,420,2461,1185,3570,2243,2043,1072,1757,918,4952,2573,3519,2001,377,278,8,6
Alabama,Madison County,21560,10602,62450,30602,39930,19730,53242,26466,47981,24478,102776,53100,53239,29464,6910,4329,65,41
Alabama,Marengo County,1088,543,3182,1565,1437,703,2132,1134,2130,1176,5419,2927,3512,1882,418,286,5,5
Alabama,Marion County,1580,726,4497,2200,2320,1111,3273,1645,3357,1683,8208,4066,5478,2969,611,423,17,11
Alabama,Marshall County,6151,2924,17931,8859,8211,4017,11542,5699,11415,5834,25049,12690,15532,8541,1766,1133,15,15
Alabama,Mobile County,25445,12546,69937,34616,39746,20636,53630,28209,49949,26225,105366,55126,63670,34960,6999,4640,67,63
Alabama,Monroe County,1014,455,3196,1560,1675,818,1995,1059,2219,1187,5594,2875,3627,2007,440,296,12,10
Alabama,Montgomery County,13896,6807,37631,18483,22876,12051,30942,16338,29228,15439,57627,30764,32770,18507,3943,2594,41,41
Alabama,Morgan County,7231,3559,20705,10045,10170,4960,14665,7329,15051,7500,33263,16847,20033,11078,2288,1480,15,15
Alabama,Perry County,463,225,1308,656,1082,461,838,443,892,486,2216,1180,1494,875,218,134,0,0
Alabama,Pickens County,941,431,2735,1323,1466,764,2235,1367,2562,1584,5371,2987,3436,1867,376,232,1,1
Alabama,Pike County,1720,846,4480,2212,6533,3655,3850,1993,3390,1795,7587,4040,4897,2712,543,361,9,8
Alabama,Randolph County,1184,585,3519,1715,1953,958,2262,1226,2211,1185,6266,3189,4139,2174,431,294,2,2
Alabama,Russell County,3977,1924,10525,5079,4843,2488,8503,4507,7088,3765,15035,7892,8289,4601,918,640,5,0
Alabama,St. Clair County,5193,2547,15818,7554,6658,3214,11078,5531,11732,6013,24755,12475,14451,7809,1410,826,8,6
Alabama,Shelby County,12350,5989,40187,19831,20008,10197,26518,13762,30401,15822,58838,30586,31584,17361,3112,1946,26,20
Alabama,Sumter County,673,333,1758,865,1980,1074,1277,677,1126,634,3207,1763,2065,1131,253,193,6,3
Alabama,Talladega County,4299,2094,12826,6397,7150,3622,9562,4889,9893,5084,23229,11828,13826,7448,1360,897,4,2
Alabama,Tallapoosa County,2033,960,6266,3017,2950,1432,4358,2282,4395,2292,12013,6187,8417,4491,868,563,11,11
Alabama,Tuscaloosa County,13446,6683,34566,17142,40441,21489,30889,15848,26823,13937,49810,25872,27868,15184,3157,2126,36,34
Alabama,Walker County,3497,1690,10178,4966,5256,2617,7345,3612,7564,3888,18036,9133,12225,6694,1227,793,14,10
Alabama,Washington County,875,438,2432,1167,1286,639,1541,763,1680,872,4321,2206,2942,1566,305,179,6,3
Alabama,Wilcox County,617,318,1723,832,915,454,1055,552,1144,595,2943,1525,1985,1046,217,146,1,0
Alabama,Winston County,1234,596,3540,1707,1868,918,2341,1222,2592,1306,6823,3425,4638,2496,491,326,13,12
Alaska,Aleutians East Borough,70,32,230,108,235,88,720,188,697,182,1233,364,228,85,7,2,0,0
Alaska,Aleutians West Census Area,162,86,491,241,470,128,1042,327,1017,286,1747,604,284,120,19,8,0,0
Alaska,Anchorage Municipality,18738,8992,49594,24094,28687,13267,47414,23081,39907,19659,70773,35361,33378,17173,2718,1701,38,25
